AAA,None
AAB,None
AAC,0001606180
AAD,None
AAE,None
AAF,None
AAG,None
AAH,None
AAI,0000948846
AAJ,None
AAK,None
AAL,0000006201
AAM,None
AAN,0000706688
AAO,None
AAP,0001158449
AAQ,None
AAR,None
AAS,None
AAT,0001500217
AAU,0001015647
AAV,0001259995
AAW,None
AAX,None
AAY,None
AAZ,None
ABA,None
ABB,0001091587
ABC,0001140859
ABD,None
ABE,None
ABF,None
ABG,0001144980
ABH,None
ABI,0000077551
ABJ,None
ABK,None
ABL,0000004611
ABM,0000771497
ABN,None
ABO,None
ABP,None
ABQ,None
ABR,0001253986
ABS,0000003333
ABT,0000001800
ABU,None
ABV,0001113172
ABW,None
ABX,0000756894
ABY,0001601072
ABZ,None
ACA,None
ACB,None
ACC,0001283630
ACD,None
ACE,None
ACF,0000804269
ACG,0000816754
ACH,0001161611
ACI,None
ACJ,None
ACK,None
ACL,0001167379
ACM,0000868857
ACN,0001467373
ACO,0000813621
ACP,None
ACQ,None
ACR,0000787784
ACS,0000002135
ACT,0000884629
ACU,0000002098
ACV,0001368457
ACW,0000817979
ACX,None
ACY,0001036848
ACZ,None
ADA,None
ADB,None
ADC,0000917251
ADD,None
ADE,None
ADF,None
ADG,0000003952
ADH,None
ADI,0000006281
ADJ,None
ADK,None
ADL,None
ADM,0000007084
ADN,None
ADO,0000931496
ADP,0000008670
ADQ,None
ADR,None
ADS,0001101215
ADT,0001546640
ADU,None
ADV,None
ADW,None
ADX,0000002230
ADY,0000789868
ADZ,None
AEA,0001299704
AEB,0000769218
AEC,0000911635
AED,0000769218
AEE,0001002910
AEF,0000769218
AEG,0000769218
AEH,0000769218
AEI,0001387685
AEJ,None
AEK,0000769218
AEL,0001039828
AEM,0000002809
AEN,0000894158
AEO,0000919012
AEP,0000004904
AEQ,None
AER,0001378789
AES,0000874761
AET,0001122304
AEU,None
AEV,0000769218
AEW,None
AEX,None
AEY,0000874292
AEZ,0001120916
AFA,0001042046
AFB,None
AFC,0000003906
AFD,None
AFE,None
AFF,None
AFG,0001042046
AFH,0001539894
AFI,0001655075
AFJ,None
AFK,None
AFL,0000004977
AFM,None
AFN,None
AFO,None
AFP,0000065358
AFQ,0001042046
AFR,0001193558
AFS,None
AFT,None
AFU,None
AFV,None
AFW,0001042046
AFX,None
AFY,None
AFZ,None
AGA,None
AGB,None
AGC,0001219120
AGD,None
AGE,0000718482
AGF,None
AGG,None
AGH,None
AGI,0001178819
AGJ,None
AGK,None
AGL,None
AGM,0000845877
AGN,0001578845
AGO,0001273813
AGP,0001064863
AGQ,None
AGR,0001634997
AGS,None
AGT,None
AGU,0000943003
AGV,None
AGW,None
AGX,0000100591
AGY,0000895385
AGZ,None
AHA,None
AHB,None
AHC,0001413898
AHD,0001347219
AHE,None
AHF,None
AHG,0000882289
AHH,0001569187
AHI,0000909950
AHJ,None
AHK,None
AHL,0001267395
AHM,None
AHN,None
AHO,None
AHP,0001574085
AHQ,None
AHR,None
AHS,None
AHT,0001232582
AHU,None
AHV,None
AHW,None
AHX,None
AHY,None
AHZ,None
AIA,None
AIB,0001278752
AIC,0001282552
AID,None
AIE,None
AIF,None
AIG,0000005272
AIH,0000046653
AII,None
AIJ,None
AIK,None
AIL,None
AIM,0000109471
AIN,0000819793
AIO,None
AIP,0000005337
AIQ,0000817135
AIR,0000001750
AIS,None
AIT,0000109563
AIU,None
AIV,0000922864
AIW,0001209028
AIX,None
AIY,0001278752
AIZ,0001267238
AJA,None
AJB,None
AJC,None
AJD,None
AJE,None
AJF,None
AJG,0000354190
AJH,None
AJI,None
AJJ,None
AJK,None
AJL,None
AJM,None
AJN,None
AJO,None
AJP,None
AJQ,None
AJR,None
AJS,None
AJT,None
AJU,None
AJV,None
AJW,None
AJX,0001614806
AJY,None
AJZ,None
AKA,None
AKB,None
AKC,None
AKD,None
AKE,None
AKF,None
AKG,None
AKH,None
AKI,None
AKJ,None
AKK,None
AKL,None
AKM,None
AKN,None
AKO,None
AKP,0001162028
AKQ,None
AKR,0000899629
AKS,0000918160
AKT,None
AKU,None
AKV,None
AKW,None
AKX,None
AKY,None
AKZ,None
ALA,None
ALB,0000915913
ALC,0000929994
ALD,0000003906
ALE,0000066756
ALF,0000003153
ALG,0000897077
ALH,None
ALI,None
ALJ,0001325955
ALK,0000766421
ALL,0000899051
ALM,None
ALN,0001117057
ALO,0000730469
ALP,None
ALQ,0000003153
ALR,0001145460
ALS,None
ALT,0001326190
ALU,0000886125
ALV,0001034670
ALW,None
ALX,0000003499
ALY,0000003982
ALZ,0000003153
AMA,None
AMB,None
AMC,0001411579
AMD,0000002488
AME,0001037868
AMF,None
AMG,0001004434
AMH,0001562401
AMI,None
AMJ,None
AMK,0000766430
AML,0000914724
AMM,None
AMN,0001142750
AMO,None
AMP,0000820027
AMQ,None
AMR,None
AMS,0000744825
AMT,0001053507
AMU,None
AMV,0000927102
AMW,None
AMX,0001129137
AMY,None
AMZ,None
ANA,None
ANB,None
ANC,None
AND,None
ANE,None
ANF,0001018840
ANG,None
ANH,0001047884
ANI,None
ANJ,None
ANK,None
ANL,None
ANM,None
ANN,0000874214
ANO,0001028277
ANP,None
ANQ,None
ANR,None
ANS,0001011696
ANT,0001163842
ANU,None
ANV,0001376610
ANW,0001344376
ANX,None
ANY,0001591956
ANZ,None
AOA,None
AOB,0001090514
AOC,None
AOD,None
AOE,None
AOF,None
AOG,None
AOH,None
AOI,0000939930
AOJ,None
AOK,None
AOL,0001468516
AOM,None
AON,0000315293
AOO,None
AOP,None
AOQ,None
AOR,None
AOS,0000091142
AOT,None
AOU,None
AOV,None
AOW,None
AOX,None
AOY,None
AOZ,None
APA,0000006769
APB,None
APC,0000773910
APD,0000002969
APE,None
APF,None
APG,None
APH,0000820313
